group_id,case_in_group,test_file,category,purpose,priority,complexity,source_input,upstream_expected,emacs_command,python_command,compare_method,current_result,selection_notes
G003,1,ExampParamVal2.v,example,示例级参数值传递：验证多参数/复杂参数值生成。,P1-core,Medium,test/verilog-mode/tests/ExampParamVal2.v,test/verilog-mode/tests_ok/ExampParamVal2.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/ExampParamVal2.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/ExampParamVal2.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/ExampParamVal2.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G003,2,ExampReg.v,example,验证 example 相关连接/声明自动生成。,P1-core,Low,test/verilog-mode/tests/ExampReg.v,test/verilog-mode/tests_ok/ExampReg.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/ExampReg.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/ExampReg.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/ExampReg.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G003,3,ExampRegInput.v,example,验证 example 相关连接/声明自动生成。,P1-core,Low,test/verilog-mode/tests/ExampRegInput.v,test/verilog-mode/tests_ok/ExampRegInput.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/ExampRegInput.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/ExampRegInput.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/ExampRegInput.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G003,4,ExampShell.v,example,示例级 shell/stub：组合 AUTOARG、AUTOINOUTMODULE、AUTOINST 等生成外壳。,P1-core,Low,test/verilog-mode/tests/ExampShell.v,test/verilog-mode/tests_ok/ExampShell.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/ExampShell.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/ExampShell.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/ExampShell.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G003,5,ExampStub.v,example,示例级 stub：从目标模块生成 stub 端口和参数。,P1-core,Medium,test/verilog-mode/tests/ExampStub.v,test/verilog-mode/tests_ok/ExampStub.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/ExampStub.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/ExampStub.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/ExampStub.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G004,1,ExampStub2.v,example,示例级 stub 变体：验证第二种 stub/外壳生成格式。,P1-core,Low,test/verilog-mode/tests/ExampStub2.v,test/verilog-mode/tests_ok/ExampStub2.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/ExampStub2.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/ExampStub2.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/ExampStub2.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G004,2,ExampWire.v,example,示例级 AUTOWIRE：根据实例输出生成内部 wire。,P1-core,Low,test/verilog-mode/tests/ExampWire.v,test/verilog-mode/tests_ok/ExampWire.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/ExampWire.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/ExampWire.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/ExampWire.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G004,3,autoinout.v,AUTOINOUT,batch 基础 AUTOINOUT：同文件子模块、AUTOARG、AUTOINPUT/AUTOINOUT/AUTOOUTPUT、AUTOINST 联动。,P0-confirmed,Low,test/verilog-mode/tests/autoinout.v,test/verilog-mode/tests_ok/autoinout.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinout.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinout.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinout.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PASS: verified by python3 test/compare_upstream_batch.py,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G004,4,autoinout_lovell.v,AUTOINOUT,验证 AUTOINOUT 从子模块 inout 连接生成顶层 inout。,P1-core,Low,test/verilog-mode/tests/autoinout_lovell.v,test/verilog-mode/tests_ok/autoinout_lovell.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinout_lovell.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinout_lovell.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinout_lovell.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G004,5,autoinout_ma.v,AUTOINOUT,验证 AUTOINOUT 从子模块 inout 连接生成顶层 inout。,P1-core,Low,test/verilog-mode/tests/autoinout_ma.v,test/verilog-mode/tests_ok/autoinout_ma.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinout_ma.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinout_ma.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinout_ma.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G005,1,autoinout_moller.v,AUTOINOUT,验证 AUTOINOUT 从子模块 inout 连接生成顶层 inout。,P1-core,Low,test/verilog-mode/tests/autoinout_moller.v,test/verilog-mode/tests_ok/autoinout_moller.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinout_moller.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinout_moller.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinout_moller.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G005,2,autoinout_regexp.v,AUTOINOUT,验证 AUTOINOUT 从子模块 inout 连接生成顶层 inout。 覆盖 regexp 过滤/匹配。,P1-core,High,test/verilog-mode/tests/autoinout_regexp.v,test/verilog-mode/tests_ok/autoinout_regexp.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinout_regexp.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinout_regexp.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinout_regexp.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G005,3,autoinout_v2k.v,AUTOINOUT,验证 AUTOINOUT 从子模块 inout 连接生成顶层 inout。 覆盖 Verilog-2001/ANSI 风格端口声明。,P1-core,Low,test/verilog-mode/tests/autoinout_v2k.v,test/verilog-mode/tests_ok/autoinout_v2k.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinout_v2k.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinout_v2k.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinout_v2k.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G005,4,autoinoutcomp.v,AUTOINOUTCOMP,验证 AUTOINOUTCOMP 复制端口并反转 input/output 方向。,P2-helper,Low,test/verilog-mode/tests/autoinoutcomp.v,test/verilog-mode/tests_ok/autoinoutcomp.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinoutcomp.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinoutcomp.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinoutcomp.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G005,5,autoinoutin.v,AUTOINOUTIN,验证 AUTOINOUTIN 复制端口并全部生成为 input。,P2-helper,Low,test/verilog-mode/tests/autoinoutin.v,test/verilog-mode/tests_ok/autoinoutin.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinoutin.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinoutin.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinoutin.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G006,1,autoinoutmodport_bourduas_type.v,AUTOINOUTMODPORT,验证 AUTOINOUTMODPORT 从 interface modport 生成端口。 覆盖 inout/modport tieoff。,P2-helper,High,test/verilog-mode/tests/autoinoutmodport_bourduas_type.v,test/verilog-mode/tests_ok/autoinoutmodport_bourduas_type.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinoutmodport_bourduas_type.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinoutmodport_bourduas_type.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinoutmodport_bourduas_type.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G006,2,autoinoutmodport_prefix.v,AUTOINOUTMODPORT,验证 AUTOINOUTMODPORT 从 interface modport 生成端口。 覆盖 inout/modport tieoff。,P2-helper,High,test/verilog-mode/tests/autoinoutmodport_prefix.v,test/verilog-mode/tests_ok/autoinoutmodport_prefix.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinoutmodport_prefix.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinoutmodport_prefix.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinoutmodport_prefix.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G006,3,autoinoutmodule.v,AUTOINOUTMODULE,验证 AUTOINOUTMODULE 从指定模块复制端口声明。 覆盖 inout/modport tieoff。,P2-helper,High,test/verilog-mode/tests/autoinoutmodule.v,test/verilog-mode/tests_ok/autoinoutmodule.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinoutmodule.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinoutmodule.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinoutmodule.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G006,4,autoinoutmodule_dedefine.v,AUTOINOUTMODULE,验证 AUTOINOUTMODULE 从指定模块复制端口声明。 覆盖 `define/条件编译影响模块端口解析。 覆盖 inout/modport tieoff。,P2-helper,High,test/verilog-mode/tests/autoinoutmodule_dedefine.v,test/verilog-mode/tests_ok/autoinoutmodule_dedefine.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinoutmodule_dedefine.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinoutmodule_dedefine.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinoutmodule_dedefine.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
G006,5,autoinoutmodule_iface.v,AUTOINOUTMODULE,验证 AUTOINOUTMODULE 从指定模块复制端口声明。 覆盖 inout/modport tieoff。,P2-helper,High,test/verilog-mode/tests/autoinoutmodule_iface.v,test/verilog-mode/tests_ok/autoinoutmodule_iface.v,"tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; emacs --batch -q --no-site-file -l ""$tmp/up/verilog-mode.el"" -l ""$tmp/up/batch_test.el"" ""$tmp/up/tests/autoinoutmodule_iface.v"" -f verilog-batch-auto","tmp=$(mktemp -d); cp -a test/verilog-mode ""$tmp/up""; python3 verilog-mode.py verilog-batch-auto ""$tmp/up/tests/autoinoutmodule_iface.v""","Normalize horizontal whitespace and compare Python output against either fresh Emacs output or test/verilog-mode/tests_ok/autoinoutmodule_iface.v when present. For the four upstream batch cases, run python3 test/compare_upstream_batch.py.",PENDING,Select P1 first for module instantiation/connectivity parity; select P2 for shell/interface/helper AUTO; P3 after core behavior is stable.
